epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1173.61,0.5511,0.43705,1.15224,0.99942,1,0.995,0.91332,0.25857,0.1697,0.59156,0.0003368,0.0003368,0.0003368
86,1187.4,0.5637,0.44224,1.16484,0.99936,1,0.995,0.92395,0.26757,0.21114,0.58203,0.000317,0.000317,0.000317
87,1201.06,0.56299,0.4515,1.16911,0.99938,1,0.995,0.91675,0.26536,0.18772,0.58778,0.0002972,0.0002972,0.0002972
88,1214.52,0.55832,0.43766,1.16113,0.99942,1,0.995,0.92305,0.23367,0.18002,0.55169,0.0002774,0.0002774,0.0002774
89,1228.07,0.54874,0.41622,1.14421,0.99934,1,0.995,0.93076,0.25686,0.18024,0.5687,0.0002576,0.0002576,0.0002576
90,1241.63,0.53783,0.43277,1.13204,0.99942,1,0.995,0.92393,0.26692,0.18876,0.58729,0.0002378,0.0002378,0.0002378
91,58.4597,0.39386,0.87413,1.00628,0.99892,1,0.995,0.90127,0.20443,0.14386,0.42641,0.000218,0.000218,0.000218
92,119.945,0.3227,0.49922,0.92861,0.99912,1,0.995,0.8908,0.22217,0.15981,0.44985,0.0001982,0.0001982,0.0001982
93,176.454,0.30066,0.38485,0.87242,0.99939,1,0.995,0.914,0.19213,0.12531,0.42161,0.0001784,0.0001784,0.0001784
94,232.558,0.28486,0.26757,0.88527,0.99944,1,0.995,0.92049,0.18574,0.12382,0.40694,0.0001586,0.0001586,0.0001586
95,289.069,0.29867,0.23441,0.90965,0.99938,1,0.995,0.91385,0.18994,0.12001,0.41471,0.0001388,0.0001388,0.0001388
96,345.226,0.27037,0.25369,0.84051,0.99939,1,0.995,0.93,0.16938,0.11544,0.39228,0.000119,0.000119,0.000119
97,411.262,0.27075,0.27943,0.85335,0.99939,1,0.995,0.92818,0.17023,0.11497,0.3905,9.92e-05,9.92e-05,9.92e-05
98,476.863,0.2546,0.20555,0.84782,0.99941,1,0.995,0.91443,0.18641,0.11585,0.4081,7.94e-05,7.94e-05,7.94e-05
99,530.028,0.25907,0.24504,0.8814,0.99941,1,0.995,0.9225,0.1683,0.11108,0.39059,5.96e-05,5.96e-05,5.96e-05
100,579.596,0.25437,0.22533,0.84522,0.99941,1,0.995,0.92792,0.17369,0.11244,0.39396,3.98e-05,3.98e-05,3.98e-05
